,age_group,gender,location,italian_region,travel_purpose,touristic_travel_freq,traveler_type,trip_org,trip_ideas_source,weekend_distance,historic_importance,arch_interest,restaurant_reviews_importance,food_activities_interest,attr_public_transport,attr_prices,attr_accommodation,attr_food,attr_history,attr_events,attr_landscape,attr_tourist_packs,week_trip_budget,night_accommodation_budget,discount_importance,guided_tours_importance,offseason_interest,private_transport_pref,public_transport_importance,max_transport,wine_cheap,wine_good,wine_expensive,wine_too_expensive,quintana_cheap,quintana_good,quintana_expensive,quintana_too_expensive,ascoliva_cheap,ascoliva_good,ascoliva_expensive,ascoliva_too_expensive,walking_tour_interest,tour_cheap,tour_good,tour_expensive,tour_too_expensive,rating_ascoli,rating_siena,rating_lucca,rating_pisa,rating_venezia,food_ascoli,food_siena,food_lucca,food_pisa,food_venezia,events_ascoli,events_siena,events_lucca,events_pisa,events_venezia
47,18-25,Male,Asia,,Visiting family/friends,2,Family Traveler;Group Traveler,I plan and book everything myself,"Social media platforms (e.g., Instagram, TikTok, Pinterest);Recommendations from friends or family;Online travel platforms (e.g., TripAdvisor, Booking.com, Expedia)",100–300 km (Approx. 1.5 to 3 hours by car),2,Public squares;Castles and fortifications;Bridges,3,Yes,3,2,4,1,6,7,5,8,<500,50-150,3,1,Yes,No,4.0,2,30,20,50,100,20,30,40,50,20.0,30.0,40,50.0,No,,,,,4,5,3,2,1,4,2,3,1,5,1,2,3,4,5
48,26-35,Male,Italy,"North (Valle d'Aosta, Piemonte, Lombardia, Liguria, Veneto, Trentino-Alto Adige, Friuli Venezia Giulia, Emilia-Romagna)",Education,>5,Solo Traveler;Group Traveler,I plan and book everything myself,Travel blogs or websites;Recommendations from friends or family;Magazines or books,100–300 km (Approx. 1.5 to 3 hours by car),5,Religious sites;Public squares;Castles and fortifications;Bridges;Ports,3,Yes,5,1,6,2,3,7,4,8,<500,<50,4,2,Yes,Yes,5.0,2,10,15,20,50,10,20,30,100,15.0,30.0,40,200.0,No,,,,,4,5,1,2,3,5,4,1,3,2,4,5,2,3,1
49,18-25,Male,Asia,,Tourism,>5,Family Traveler;Group Traveler,Relying on recommendations from friends/family,"Social media platforms (e.g., Instagram, TikTok, Pinterest);Recommendations from friends or family",< 100 km (Approx. 1 hour or less by car),2,Religious sites;Castles and fortifications,4,Yes,6,8,5,4,2,3,7,1,<500,<50,3,2,Yes,Yes,5.0,3,10,9,50,100,15,20,60,150,18.0,19.0,90,100.0,Yes,10.0,5.0,100.0,200.0,5,1,2,3,4,4,3,1,5,2,1,2,5,3,4
50,26-35,Male,Asia,,Visiting family/friends,2,Family Traveler,I plan and book everything myself,"Social media platforms (e.g., Instagram, TikTok, Pinterest)",100–300 km (Approx. 1.5 to 3 hours by car),5,Religious sites;Castles and fortifications,5,Yes,6,1,2,4,3,7,5,8,500-2000,50-150,5,3,Yes,Yes,4.0,2,15,13,16,20,20,30,60,65,20.0,30.0,55,60.0,Yes,20.0,30.0,55.0,60.0,5,3,4,2,1,5,3,2,4,1,2,4,5,3,1
51,36-45,Female,Italy,"North (Valle d'Aosta, Piemonte, Lombardia, Liguria, Veneto, Trentino-Alto Adige, Friuli Venezia Giulia, Emilia-Romagna)",Tourism,1,Family Traveler,Relying on recommendations from friends/family,"Social media platforms (e.g., Instagram, TikTok, Pinterest);Recommendations from friends or family",< 100 km (Approx. 1 hour or less by car),3,Religious sites;Public squares,4,No,1,2,3,4,8,6,7,5,500-2000,50-150,5,3,No,No,5.0,2,30,20,50,100,50,40,80,120,40.0,30.0,100,150.0,Yes,20.0,10.0,50.0,70.0,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5
52,18-25,Female,Europe,,Tourism,3,Family Traveler;Group Traveler,I plan and book everything myself,"Social media platforms (e.g., Instagram, TikTok, Pinterest);Travel blogs or websites;Recommendations from friends or family",300–500 km (Approx. 3 to 5 hours by car),4,Religious sites;Castles and fortifications;Bridges,4,Yes,3,1,2,4,5,6,7,8,<500,50-150,1,4,Yes,No,,3,10,30,100,200,5,25,75,500,15.0,37.0,100,400.0,Yes,2.0,10.0,50.0,100.0,1,5,3,4,2,3,5,1,4,2,4,5,1,3,2
53,36-45,Male,Asia,,Tourism,2,Family Traveler,I plan and book everything myself,"Social media platforms (e.g., Instagram, TikTok, Pinterest);Travel blogs or websites;Recommendations from friends or family",300–500 km (Approx. 3 to 5 hours by car),3,Ports,4,No,1,2,3,4,5,6,7,8,500-2000,150-400,5,4,Yes,Yes,2.0,2,200,100,250,300,300,200,350,400,250.0,200.0,300,350.0,No,,,,,1,2,3,4,5,5,4,3,2,1,4,5,3,2,1
54,26-35,Male,Italy,"North (Valle d'Aosta, Piemonte, Lombardia, Liguria, Veneto, Trentino-Alto Adige, Friuli Venezia Giulia, Emilia-Romagna)",Education,2,Solo Traveler;Group Traveler,I plan and book everything myself,"Social media platforms (e.g., Instagram, TikTok, Pinterest);Recommendations from friends or family",100–300 km (Approx. 1.5 to 3 hours by car),3,Religious sites;Public squares;Castles and fortifications;Bridges,5,No,8,3,7,4,2,5,6,1,<500,<50,5,2,Yes,No,5.0,>3,12,15,25,30,20,25,30,50,20.0,25.0,30,50.0,Yes,10.0,15.0,30.0,50.0,5,4,3,2,1,5,4,3,2,1,5,4,1,2,3
55,18-25,Female,Asia,,Tourism,2,Solo Traveler;Couple Traveler,I plan and book everything myself,"Social media platforms (e.g., Instagram, TikTok, Pinterest)",300–500 km (Approx. 3 to 5 hours by car),1,Castles and fortifications,2,Yes,2,3,1,4,6,7,5,8,<500,<50,5,2,Yes,No,5.0,>3,20,30,60,80,10,30,50,70,30.0,50.0,70,90.0,No,,,,,4,1,5,2,3,3,2,1,4,5,5,4,1,3,2
56,46-55,Male,Asia,,Tourism,2,Family Traveler,I plan and book everything myself,Travel blogs or websites,300–500 km (Approx. 3 to 5 hours by car),3,Public squares,3,Yes,1,2,3,4,5,6,7,8,500-2000,50-150,3,3,Yes,Yes,3.0,2,175,150,200,250,300,200,350,400,200.0,150.0,250,300.0,Yes,200.0,150.0,250.0,300.0,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5
57,26-35,Female,Italy,"North (Valle d'Aosta, Piemonte, Lombardia, Liguria, Veneto, Trentino-Alto Adige, Friuli Venezia Giulia, Emilia-Romagna)",Tourism,1,Solo Traveler;Group Traveler,I plan and book everything myself,"Social media platforms (e.g., Instagram, TikTok, Pinterest);Travel blogs or websites;Recommendations from friends or family;TV shows, movies, or documentaries;Magazines or books",300–500 km (Approx. 3 to 5 hours by car),1,Castles and fortifications;Bridges;Ports,3,Yes,6,7,4,3,1,2,8,5,<500,<50,3,1,Yes,No,5.0,3,15,30,50,100,10,20,30,50,20.0,40.0,70,100.0,No,,,,,5,3,4,1,2,3,1,2,4,5,3,4,1,2,5
58,18-25,Female,Asia,,Tourism,1,Family Traveler,Relying on recommendations from friends/family,"Social media platforms (e.g., Instagram, TikTok, Pinterest);Recommendations from friends or family;TV shows, movies, or documentaries",100–300 km (Approx. 1.5 to 3 hours by car),4,Castles and fortifications;Bridges;Ports,3,Yes,1,2,3,4,6,8,7,5,500-2000,50-150,4,4,Yes,Yes,5.0,2,5,6,50,20,2,6,70,60,8.0,7.0,10,20.0,Yes,2.0,2.0,20.0,30.0,4,3,5,1,2,2,1,3,4,5,5,3,1,2,4
59,<18,Male,Asia,,Tourism,1,Group Traveler,Relying on recommendations from friends/family,"Social media platforms (e.g., Instagram, TikTok, Pinterest);Travel blogs or websites;Recommendations from friends or family",300–500 km (Approx. 3 to 5 hours by car),4,Religious sites;Castles and fortifications,3,No,3,4,5,2,8,6,1,7,500-2000,150-400,4,2,No,No,5.0,2,100,100,500,500,100,100,500,500,100.0,100.0,500,500.0,Yes,100.0,100.0,500.0,500.0,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5
60,18-25,Female,Europe,,Tourism,1,Solo Traveler;Family Traveler;Group Traveler,Through a travel agency or tour operator,"Recommendations from friends or family;Travel agencies or brochures;TV shows, movies, or documentaries",100–300 km (Approx. 1.5 to 3 hours by car),3,Religious sites;Castles and fortifications;Bridges,4,Yes,2,1,3,4,5,7,6,8,<500,150-400,3,2,Yes,No,4.0,2,50,100,150,200,20,50,150,300,10.0,50.0,90,100.0,Yes,75.0,100.0,120.0,250.0,1,2,3,5,4,3,4,1,2,5,2,3,4,5,1
61,18-25,Male,Italy,"North (Valle d'Aosta, Piemonte, Lombardia, Liguria, Veneto, Trentino-Alto Adige, Friuli Venezia Giulia, Emilia-Romagna)",Tourism,2,Family Traveler;Group Traveler;Couple Traveler,I plan and book everything myself,"Travel blogs or websites;Recommendations from friends or family;Online travel platforms (e.g., TripAdvisor, Booking.com, Expedia)",100–300 km (Approx. 1.5 to 3 hours by car),2,Public squares;Castles and fortifications,5,No,3,2,4,5,6,7,1,8,<500,<50,4,2,Yes,Yes,,2,15,25,35,40,10,20,30,50,10.0,15.0,30,40.0,No,,,,,5,4,3,2,1,3,5,1,4,2,3,2,4,5,1
62,18-25,Male,Asia,,Tourism,2,Family Traveler;Group Traveler,Through a travel agency or tour operator,"Social media platforms (e.g., Instagram, TikTok, Pinterest);Travel blogs or websites;Recommendations from friends or family;Online travel platforms (e.g., TripAdvisor, Booking.com, Expedia)",> 500 km ( > 5 hours by car),3,Religious sites;Public squares,4,Yes,6,7,5,8,4,3,2,1,<500,<50,5,3,Yes,No,5.0,2,30,50,100,190,30,60,90,200,30.0,60.0,100,150.0,Yes,0.0,20.0,40.0,50.0,2,4,3,1,5,3,2,1,4,5,4,3,5,2,1
63,18-25,Female,Italy,"North (Valle d'Aosta, Piemonte, Lombardia, Liguria, Veneto, Trentino-Alto Adige, Friuli Venezia Giulia, Emilia-Romagna)",Tourism,2,Solo Traveler;Group Traveler,I plan and book everything myself,"Social media platforms (e.g., Instagram, TikTok, Pinterest);Travel blogs or websites;Recommendations from friends or family",100–300 km (Approx. 1.5 to 3 hours by car),3,Religious sites;Public squares;Castles and fortifications;Bridges,3,Yes,3,1,4,6,2,7,5,8,<500,50-150,5,3,Yes,No,,2,15,25,45,60,10,20,40,50,20.0,30.0,40,50.0,Yes,10.0,20.0,35.0,45.0,5,2,3,4,1,3,4,1,2,5,5,4,2,3,1
64,36-45,Female,Italy,"North (Valle d'Aosta, Piemonte, Lombardia, Liguria, Veneto, Trentino-Alto Adige, Friuli Venezia Giulia, Emilia-Romagna)",Tourism,2,Family Traveler;Group Traveler,Relying on recommendations from friends/family,"Social media platforms (e.g., Instagram, TikTok, Pinterest);Travel blogs or websites;Recommendations from friends or family",100–300 km (Approx. 1.5 to 3 hours by car),3,Religious sites;Bridges;Ports,4,No,1,2,3,8,6,5,4,7,500-2000,150-400,4,5,Yes,Yes,5.0,3,12,1020,20,25,15,18,20,30,10.0,15.0,16,19.0,Yes,10.0,10.0,15.0,20.0,4,3,5,1,2,3,4,5,1,2,5,4,3,2,1
65,18-25,Male,Asia,,I don’t travel,0,Family Traveler,"I don't go abroad and when traveling inside my country, I go with my family, and they do all the things.","Social media platforms (e.g., Instagram, TikTok, Pinterest);Travel blogs or websites;Recommendations from friends or family;Travel agencies or brochures;Online travel platforms (e.g., TripAdvisor, Booking.com, Expedia);TV shows, movies, or documentaries;Magazines or books;Again, I do not travel abroad, but if I were to I'd use all the above.",> 500 km ( > 5 hours by car),4,Religious sites;Public squares;Castles and fortifications;Bridges;Ports,1,Yes,1,3,2,4,5,8,6,7,<500,<50,5,3,Yes,No,5.0,>3,30,70,120,200,10,40,70,100,70.0,100.0,120,200.0,Yes,20.0,30.0,40.0,50.0,5,4,2,3,1,3,2,1,4,5,2,4,3,5,1
66,18-25,Male,Asia,,Education,2,Solo Traveler;Family Traveler;Group Traveler;Couple Traveler,I plan and book everything myself,"Social media platforms (e.g., Instagram, TikTok, Pinterest);Travel blogs or websites;Recommendations from friends or family;TV shows, movies, or documentaries",> 500 km ( > 5 hours by car),1,Religious sites;Public squares;Castles and fortifications;Bridges;Ports,5,Yes,4,5,6,7,1,3,8,2,>4000,700>,5,5,Yes,Yes,5.0,2,5,5,10,15,15,20,30,40,13.0,15.0,20,30.0,Yes,10.0,15.0,20.0,25.0,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5
67,18-25,Male,Asia,,Tourism,1,Group Traveler,Relying on recommendations from friends/family,"Social media platforms (e.g., Instagram, TikTok, Pinterest);Travel blogs or websites;Recommendations from friends or family",> 500 km ( > 5 hours by car),4,Religious sites;Public squares;Castles and fortifications;Ports,5,Yes,5,8,7,6,4,3,2,1,<500,<50,4,2,Yes,Yes,4.0,>3,50,10,80,150,5,15,100,150,12.0,20.0,75,180.0,Yes,15.0,25.0,80.0,170.0,5,4,2,3,1,2,5,1,3,4,4,3,2,1,5
68,26-35,Female,Europe,,Tourism,2,Group Traveler;Couple Traveler,Relying on recommendations from friends/family,"Recommendations from friends or family;Online travel platforms (e.g., TripAdvisor, Booking.com, Expedia)",100–300 km (Approx. 1.5 to 3 hours by car),3,Public squares;Castles and fortifications;Bridges;Ports,5,Yes,3,2,4,1,5,7,6,8,<500,<50,4,2,Yes,No,5.0,3,20,30,60,100,10,20,50,100,5.0,10.0,20,50.0,Yes,5.0,10.0,15.0,20.0,4,5,3,2,1,3,5,1,2,4,5,4,2,1,3
69,18-25,Female,Europe,,Tourism,4,Group Traveler,I plan and book everything myself,"Social media platforms (e.g., Instagram, TikTok, Pinterest);Recommendations from friends or family",> 500 km ( > 5 hours by car),3,Public squares;Castles and fortifications,4,No,5,4,1,2,6,7,3,8,<500,<50,2,1,Yes,No,5.0,2,50,100,150,200,5,15,30,35,5.0,10.0,15,20.0,No,,,,,1,5,2,3,4,5,2,1,3,4,5,4,3,1,2
70,18-25,Female,Europe,,Tourism,3,Family Traveler;Couple Traveler,I plan and book everything myself,"Social media platforms (e.g., Instagram, TikTok, Pinterest);Travel blogs or websites",100–300 km (Approx. 1.5 to 3 hours by car),3,Public squares;Castles and fortifications;Bridges,4,Yes,6,8,7,4,2,3,5,1,500-2000,50-150,5,2,Yes,No,5.0,2,10,20,30,50,5,15,25,40,10.0,20.0,30,60.0,Yes,5.0,15.0,25.0,35.0,4,3,5,2,1,3,2,1,4,5,2,3,4,5,1
71,18-25,Female,Europe,,Education,1,Solo Traveler;Family Traveler;Couple Traveler,I plan and book everything myself,"Social media platforms (e.g., Instagram, TikTok, Pinterest);Recommendations from friends or family;Online travel platforms (e.g., TripAdvisor, Booking.com, Expedia)",< 100 km (Approx. 1 hour or less by car),5,Religious sites;Public squares;Castles and fortifications,4,Yes,6,1,3,2,4,8,5,7,<500,<50,5,4,Yes,No,4.0,3,5,20,35,100,2,10,20,50,5.0,10.0,15,25.0,Yes,2.0,8.0,15.0,30.0,3,4,5,2,1,4,3,1,2,5,4,5,2,1,3
72,18-25,Female,Italy,"North (Valle d'Aosta, Piemonte, Lombardia, Liguria, Veneto, Trentino-Alto Adige, Friuli Venezia Giulia, Emilia-Romagna)",Visiting family/friends,1,Solo Traveler;Group Traveler,I plan and book everything myself,"Social media platforms (e.g., Instagram, TikTok, Pinterest);Recommendations from friends or family",100–300 km (Approx. 1.5 to 3 hours by car),2,Public squares,3,Yes,1,2,3,4,6,5,7,8,<500,<50,5,3,Yes,No,5.0,2,70,100,200,300,12,20,21,30,10.0,15.0,20,30.0,Yes,0.0,5.0,10.0,20.0,5,3,4,2,1,4,2,1,3,5,4,5,2,3,1
73,18-25,Male,Italy,"North (Valle d'Aosta, Piemonte, Lombardia, Liguria, Veneto, Trentino-Alto Adige, Friuli Venezia Giulia, Emilia-Romagna)",Education,1,Family Traveler;Group Traveler,I plan and book everything myself,"Social media platforms (e.g., Instagram, TikTok, Pinterest);Recommendations from friends or family",> 500 km ( > 5 hours by car),3,Religious sites;Public squares;Castles and fortifications;Bridges,5,No,7,6,5,2,8,1,3,4,<500,50-150,3,3,Yes,Yes,5.0,2,20,20,20,20,15,15,15,15,15.0,15.0,15,15.0,Yes,10.0,5.0,20.0,30.0,2,3,5,4,1,2,3,5,4,1,2,3,4,5,1
74,36-45,Female,Europe,,Tourism,2,Family Traveler;Group Traveler,Relying on recommendations from friends/family,"Social media platforms (e.g., Instagram, TikTok, Pinterest);Travel blogs or websites;Recommendations from friends or family;TV shows, movies, or documentaries",100–300 km (Approx. 1.5 to 3 hours by car),5,Religious sites;Public squares;Castles and fortifications;Bridges;Ports,4,No,5,1,2,3,4,8,7,6,500-2000,50-150,5,2,Yes,No,4.0,>3,5,10,20,50,10,15,40,60,10.0,20.0,40,100.0,Yes,15.0,20.0,50.0,80.0,5,3,4,2,1,4,2,3,1,5,5,4,3,2,1
75,26-35,Male,Europe,,Visiting family/friends,1,Solo Traveler,No organization whatsoever,Recommendations from friends or family,> 500 km ( > 5 hours by car),5,Religious sites;Public squares;Castles and fortifications;Bridges;Ports,1,No,5,2,3,1,4,7,6,8,500-2000,50-150,3,1,Yes,No,5.0,>3,50,20,70,100,30,40,200,240,0.0,30.0,40,100.0,Yes,10.0,30.0,75.0,100.0,3,4,5,2,1,5,4,3,2,1,5,4,3,2,1
76,26-35,Male,Italy,"North (Valle d'Aosta, Piemonte, Lombardia, Liguria, Veneto, Trentino-Alto Adige, Friuli Venezia Giulia, Emilia-Romagna)",Tourism,2,Group Traveler,Relying on recommendations from friends/family,"Social media platforms (e.g., Instagram, TikTok, Pinterest);Travel blogs or websites;Recommendations from friends or family;Travel agencies or brochures;Online travel platforms (e.g., TripAdvisor, Booking.com, Expedia);TV shows, movies, or documentaries;Magazines or books",100–300 km (Approx. 1.5 to 3 hours by car),2,Castles and fortifications,2,Yes,1,2,3,7,6,5,4,8,<500,<50,4,3,Yes,No,5.0,2,2,10,17,25,6,10,18,22,3.0,12.0,16,20.0,No,,,,,4,3,5,1,2,2,1,3,4,5,4,1,2,5,3
77,26-35,Male,Europe,,Tourism,>5,Solo Traveler;Family Traveler;Group Traveler,I plan and book everything myself,"Travel blogs or websites;Recommendations from friends or family;Online travel platforms (e.g., TripAdvisor, Booking.com, Expedia)",> 500 km ( > 5 hours by car),3,Religious sites;Public squares;Castles and fortifications;Bridges,2,Yes,3,2,1,4,5,7,6,8,<500,50-150,3,2,Yes,Yes,5.0,2,20,30,50,100,10,20,40,50,20.0,30.0,45,55.0,Yes,10.0,15.0,35.0,50.0,5,3,4,1,2,3,1,2,4,5,4,2,5,3,1
78,18-25,Female,Italy,"North (Valle d'Aosta, Piemonte, Lombardia, Liguria, Veneto, Trentino-Alto Adige, Friuli Venezia Giulia, Emilia-Romagna)",Tourism,>5,Solo Traveler;Group Traveler,I plan and book everything myself,"Social media platforms (e.g., Instagram, TikTok, Pinterest);Online travel platforms (e.g., TripAdvisor, Booking.com, Expedia)",< 100 km (Approx. 1 hour or less by car),3,Castles and fortifications;Bridges,5,Yes,8,7,6,5,4,3,2,1,500-2000,50-150,4,3,Yes,Yes,5.0,1,30,50,80,100,20,40,60,60,15.0,25.0,40,60.0,Yes,2.0,5.0,20.0,20.0,1,2,3,4,5,5,4,3,2,1,2,3,5,1,4
